prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,meta_mode
a painting of a virus monster playing guitar,outputs,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,489822,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,702276,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,10052,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,956770,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,482322,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,670140,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,468987,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,539145,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,316693,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,500877,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,200309,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,596556,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,44888,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,743166,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,212317,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,810838,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,654224,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,685899,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,438298,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,498849,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,362793,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,576305,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,947633,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,True
