prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt
Cyberpunk style image of a Tesla car reflection in rain,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
Cyberpunk style image of a Tesla car reflection in rain,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,5,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
A red cup,outputs/txt2img-samples,False,False,50,False,0.0,2,512,512,4,8,1,0,7.5,cuda,,27,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, white background",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,51906,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,800009,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,381962,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,20,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,891622,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,200,200,4,8,1,0,7.5,cuda,,373264,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,20,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,383142,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,15,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,128748,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,451904,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup in the center, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,136934,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup in the center, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,238975,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup in the center, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,717963,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup in the center, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,373293,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,140089,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,640923,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,105987,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,696631,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,900582,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,176880,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,768605,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
"A red cup in the center, grey background, photorealistic",outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,182384,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,258706,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,464386,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,330887,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,206553,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,287307,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,775496,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,78995,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,353150,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,210532,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,946278,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,806291,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,767126,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,99037,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,460243,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,996080,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,439949,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,301491,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,745521,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,423295,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,15.0,cuda,,157230,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt
