prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler,ckpt,meta_mode
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,435809,1,False,autocast,png,plms,models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,644601,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,957305,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,outputs/txt2img-samples,False,False,25,False,0.0,1,512,512,4,8,1,0,20,cuda,,803582,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829744,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829794,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829844,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829894,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829944,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
a painting of a virus monster playing guitar,robot_imagination,False,False,25,False,0.0,1,512,512,4,8,50,0,20,cuda,,829994,1,False,autocast,png,plms,/home/fetch/Documents/Kevin/stable_diffusion/models/ldm/stable-diffusion-v1/model.ckpt,False
